2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Καὶ	καί	{}	and, also
Κορίνθιοι	Κορίνθιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Corinthian
ξυλλέξαντες	ξυλλέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	
στρατὸν	στρατός	{Case: [accusative], Gender: [masculine], Number: [singular]}	an encamped army
ὀλίγον	ὀλίγος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	few, little, scanty, small
αὑτῶν	αὐτός	{Case: [genitive], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ξυμμάχων	ξύμμαχος	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ἐπεβοήθησαν	ἐπιβοηθέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come to aid, to succour
Συρακοσίοις.	Συρακούσιος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	
Ἀθηναίοις	Ἀθηναῖος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
πολλὴ	πολύς	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [singular]}	much, many
ἀπορία	ἀπορία	{Case: [nominative], Gender: [feminine], Number: [singular]}	difficulty of passing
ἦν·	ἀείνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ἤδη	ἤδη	{}	already
αὐτοῖς	αὐτός	{Case: [dative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πόλεμος	πόλεμος	{Case: [nominative], Gender: [masculine], Number: [singular]}	battle, fight, war
ξυνεχὴς	ξυνεχής	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
κατ	κατ	{Case: [nominative], Gender: [masculine], Number: [singular]}	
οἷκον	οἷκος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	
Λακεδαιμονίους.	Λακεδαιμόνιος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [plural]}	Spartan
2.28.2	2.28.2	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἀλλ	ἀλλ	{}	
πρέσβεις	πρέσβος	{Case: [nominative], Gender: [masculine], Number: [plural]}	an object of reverence
ἔπεισαν	πείθω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to prevail upon, win over, persuade
αὐτοὺς	αὐτός	{Case: [accusative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ξυμπολεμεῖν,	ξυμπολεῖδω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
ὑπισχνούμενοι	ὑπισχνέομαι	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [middle]}	to promise
πολλὰ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	much, many
χρήματα	χρῆμα	{Case: [accusative], Gender: [neuter], Number: [plural]}	thing, (pl.) goods, property, money
δώσειν.	δίδωμι	{Tense: [future], VerbForm: [infinitive], Voice: [active]}	to give
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
πεισθέντες	πείθω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	to prevail upon, win over, persuade
ἄπειροι	ἄπειρος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	without trial, inexperienced
ὄντες	εἰμί	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
μεγέθους	μέγεθος	{Case: [genitive], Gender: [neuter], Number: [singular]}	greatness, magnitude, size, height, stature
νήσου	νῆσος	{Case: [genitive], Gender: [feminine], Number: [singular]}	an island
πλήθους	πλῆθος	{Case: [genitive], Gender: [neuter], Number: [singular]}	a great number, a throng, crowd, multitude
ἐνοικούντων	ἐνοικέω	{Case: [genitive], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to dwell in
ἐψηφίσαντο	ψηφίζω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	(mid.) to vote; (act.) to count with pebbles
πέμψαι	πέμπω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to send, despatch
στρατείαν.	στρατείαν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Καὶ	καί	{}	and, also
στρατεία	στρατεία	{Case: [nominative], Gender: [feminine], Number: [singular]}	an expedition, campaign
μεγίστη	μέγας	{Case: [nominative], Degree: [superlative], Gender: [feminine], Number: [singular]}	big, great
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
πασῶν	πᾶς	{Case: [genitive], Gender: [feminine], Number: [plural]}	all, the whole
προτέρων	πρότερος	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [plural]}	before, earlier
ναυσὶ	ναῦς	{Case: [dative], Gender: [feminine], Number: [plural]}	a ship
ὁπλίταις	ὁπλίτης	{Case: [dative], Gender: [masculine], Number: [plural]}	heavy-armed, armed
ξυμμάχων	ξύμμαχος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	
ἀκοντισταῖς	ἀκοντιστής	{Case: [dative], Gender: [masculine], Number: [plural]}	a darter, javelin-man
σφενδονήταις.	σφενδονήτης	{Case: [dative], Gender: [masculine], Number: [plural]}	a slinger
Ἀπέπλευσαν	ἀποπλέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to sail away, sail off
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
Σικελίαν	Σικελία	{Case: [accusative], Gender: [feminine], Number: [singular]}	Sicily
πρῶτον	πρῶτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	first
ηὐτύχουν.	εὐτυχουνέω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Καὶ	καί	{}	and, also
ἐπιόντος	ἔπειμι	{Case: [genitive], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	be there (in addition, later, set over)
χειμῶνος	χειμών	{Case: [genitive], Gender: [masculine], Number: [singular]}	winter; storm, stormy weather
μετεπέμψατο	μεταπέμπω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to send after
Νικίας	Νικία	{Case: [genitive], Gender: [feminine], Number: [singular]}	
στρατηγὸς	στρατηγός	{Case: [nominative], Gender: [masculine], Number: [singular]}	the leader
αὐτῶν	αὐτός	{Case: [genitive], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
στρατὸν	στρατός	{Case: [accusative], Gender: [masculine], Number: [singular]}	an encamped army
χρήματα	χρῆμα	{Case: [accusative], Gender: [neuter], Number: [plural]}	thing, (pl.) goods, property, money
ἤδη	ἤδη	{}	already
μεθ	μεθ	{}	
Καὶ	καί	{}	and, also
Ἀθηναῖοι,	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ξυνέλεξαν	ξυλέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ὀπλίτας	ὀπλίτης	{Case: [accusative], Gender: [masculine], Number: [plural]}	
ναῦς	ναῦς	{Case: [accusative], Gender: [feminine], Number: [plural]}	a ship
πλείστους	πολύς	{Case: [accusative], Degree: [superlative], Gender: [masculine], Number: [plural]}	much, many
ἐδύναντο	δύναμαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to be able, capable, strong enough
ἔπεμψαν	πέμπω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to send, despatch
Σικελίαν.	Σικελίαν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
2.28.3	2.28.3	{Case: [genitive], Gender: [masculine], Number: [singular]}	
τείχισμα	τείχισμα	{Case: [nominative], Gender: [neuter], Number: [singular]}	a wall
Συρακουσῶν	Συρακουσής	{Case: [genitive], Gender: [masculine], Number: [plural]}	
ἰσχυρὸν	ἰσχυρός	{Case: [nominative], Degree: [positive], Gender: [neuter], Number: [singular]}	strong, mighty
ἦν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
οὐδαμῶς	οὐδαμῶς	{Polarity: [neg]}	in no wise
ἐδύναντο	δύναμαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to be able, capable, strong enough
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ἐκπολιορκεῖν	ἐκπολιορκέω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to force a besieged town to surrender
πόλιν.	πόλις	{Case: [accusative], Gender: [feminine], Number: [singular]}	a city
Καὶ	καί	{}	and, also
πολλαῖς	πολύς	{Case: [dative], Degree: [positive], Gender: [feminine], Number: [plural]}	much, many
μάχαις	μάχη	{Case: [dative], Gender: [feminine], Number: [plural]}	battle, fight, combat
γῆν	γῆ	{Case: [accusative], Gender: [feminine], Number: [singular]}	earth
θάλασσαν	θάλασσα	{Case: [accusative], Gender: [feminine], Number: [singular]}	the sea
ἐνίκησαν	νικάω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to conquer, prevail, vanquish
πολέμιοι,	πολέμιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
τέλος	τέλος	{Case: [nominative], Gender: [neuter], Number: [singular]}	end, authority, fulfilment, taxes, duty
πλείστας	πολύς	{Case: [accusative], Degree: [superlative], Gender: [feminine], Number: [plural]}	much, many
νεῶν	ναῦς	{Case: [genitive], Gender: [feminine], Number: [plural]}	a ship
των	των	{}	
Ἀθηναίων	Ἀθηναῖος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
διέφθειραν.	διαφθείρω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to destroy, ruin; to corrupt
Τότε	τότε	{}	at that time, then
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
ἐπορεύοντο	πορεύομαι	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
μεσογείαν,	μεσόγεια	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἀλλ	ἀλλ	{}	
διέφευγον.	διαφεύγω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to flee through, get away from, escape
Συρακόσιοι,	Συρακόσιος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Syracusan
διώξαντες	διώκω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to pursue
καταλαβόντες	καταλαμβάνω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to seize upon, lay hold of
αὐτούς,	αὐτός	{Case: [accusative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀπέκτειναν	ἀποκτείνω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to kill, slay
ἐζώγρησαν.	ζωγρέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to take alive, revive
Οὕτως	οὕτω(ς)	{}	
ὅσον	ὅσος	{Case: [accusative], Gender: [neuter], Number: [singular], PrononimalType: [relative]}	as much/many as
πᾶσαν	πᾶς	{Case: [accusative], Gender: [feminine], Number: [singular]}	all, the whole
στρατείαν	στρατεία	{Case: [accusative], Gender: [feminine], Number: [singular]}	an expedition, campaign
διέφθειραν,	διαφθείρω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to destroy, ruin; to corrupt
ὀλίγων	ὀλίγος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	few, little, scanty, small
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
διαφευγόντων.	διαφεύγω	{Case: [genitive], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to flee through, get away from, escape
Ἐδούλωσαν	δουλόω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make a slave of, enslave
ξυλληφθέντας	ξυλλάπω	{Aspect: [perfective], Case: [accusative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	
ἑπτακισχιλίους,	ἑπτακισχίλιοι	{Case: [accusative], Gender: [masculine], Number: [plural]}	seven-thousand
Νικίαν	Νικία	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Δημοσθένην	Δημοσθένη	{Case: [accusative], Gender: [masculine], Number: [singular]}	
στρατηγοὺς	στρατηγός	{Case: [accusative], Gender: [masculine], Number: [plural]}	the leader
ἀπέσφαξαν.	ἀποσφάσσω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
2.29.0	2.29.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Alcibiades	Alcibiades	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.29.1	2.29.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἀλκιβιάδης	Ἀλκιβιάδης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Alcibiades
Κλεινίου	Κλείνιον	{Case: [genitive], Gender: [masculine], Number: [singular]}	
πλουσιώτατος	πλούσιος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	rich, wealthy, opulent
κάλλιστος	καλλίστος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	
ἦν,	ἦν,	{}	
ἀκόλαστος	ἀκόλαστος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	licentious, intemperate
ἀσεβής.	ἀσεβής	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	ungodly, godless, unholy, profane
Καὶ	καί	{}	and, also
Σωκράτης	Σωκράτης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Socrates
φιλόσοφος,	φιλόσοφος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	a lover of wisdom
φίλος	φίλος	{Case: [nominative], Gender: [masculine], Number: [singular]}	friend; loved, beloved, dear
ὢν	εἰμί	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
νεανίου,	νεανίης	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἐπαίδευσεν	παιδεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to bring up
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πολλάκις	πολλάκις	{}	many times, often, oft
ἔπαυσε	παύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to make to cease
ἀκολασίας.	ἀκολασία	{Case: [genitive], Gender: [feminine], Number: [singular]}	licentiousness, intemperance
Ἀλκιβιάδης,	Ἀλκιβιάδης,	{Case: [nominative], Gender: [masculine], Number: [singular]}	
μειράκιον	μειράκιον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a boy, lad, stripling
ὤν,	οἶνα	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	
ἐστρατεύσατο	στρατεύω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to serve in war, serve as a soldier, do military service, take the field, march
Ποτίδαιαν	Ποτίδαια	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
Σωκράτη	Σωκράτη	{Case: [accusative], Gender: [masculine], Number: [singular]}	
ξύσκηνόν	ξύσκηνος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	
παραστάτην	παραστάτης	{Case: [accusative], Gender: [masculine], Number: [singular]}	one who stands by, a defender
μάχῃ.	μάχη	{Case: [dative], Gender: [feminine], Number: [singular]}	battle, fight, combat
Καὶ	καί	{}	and, also
μάχης	μάχη	{Case: [genitive], Gender: [feminine], Number: [singular]}	battle, fight, combat
ἰσχυρᾶς	ἰσχυρός	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [singular]}	strong, mighty
γενομένης	γίγνομαι	{Aspect: [perfective], Case: [genitive], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [middle]}	become, be born
Ἀλκιβίαδου	Ἀλκίβιαδος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
τραυματισθέντος,	τραυματίζω	{Aspect: [perfective], Case: [genitive], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to wound
Σωκράτης	Σωκράτης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Socrates
ἤμυνε	ὄμνυμι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to swear
ἔσωσεν	σῴζω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to save, keep
αὐτόν·	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
Δηλίῳ	Δηλίον	{Case: [dative], Gender: [masculine], Number: [singular]}	
μάχῃ,	μάχη	{Case: [dative], Gender: [feminine], Number: [singular]}	battle, fight, combat
Ἀθηναίων	Ἀθηναῖος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
φευγόντων	φεύγω	{Case: [genitive], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to flee, take flight, run away
Σωκράτους	Σώκρατος	{Case: [accusative], Gender: [masculine], Number: [plural]}	
πεζῇ	πεζῇ	{}	
ἀποχωροῦντος,	ἀποχωρέω	{Case: [genitive], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to go from
Ἀλκιβιάδης	Ἀλκιβιάδης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Alcibiades
ἵππον	ἵππος	{Case: [accusative], Gender: [feminine], Number: [singular]}	a horse, mare
ἔχων	ἔχω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
ἔσωσεν	σῴζω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to save, keep
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πολεμίων	πολέμιος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	hostile; enemy
ἰσχυρῶς	ἰσχυρῶς	{Degree: [positive]}	
ἐπικειμένων.	ἐπικείμνυμι	{Case: [genitive], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [middle]}	
2.29.2	2.29.2	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ἐνῆγε	ἐνάγω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to lead in
Ἀλκιβιάδης	Ἀλκιβιάδης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Alcibiades
προθυμότατα	πρόθυμος	{Case: [accusative], Degree: [superlative], Gender: [neuter], Number: [plural]}	ready, willing, eager, zealous
Συρακούσας	Συράκουσαι	{Case: [accusative], Gender: [feminine], Number: [plural]}	Syracuse
στρατείαν,	στρατεία	{Case: [accusative], Gender: [feminine], Number: [singular]}	an expedition, campaign
στρατηγῆσαί	στρατηγέω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to be general
ἐπιθυμῶν	ἐπιθυμέω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to set one's heart upon
ἐλπίζων	ἐλπίζω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to hope for, look for, expect
χρήματα	χρῆμα	{Case: [accusative], Gender: [neuter], Number: [plural]}	thing, (pl.) goods, property, money
δόξαν	δόξα	{Case: [accusative], Gender: [feminine], Number: [singular]}	a notion
φέρεσθαι.	φέρω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to bear
Καὶ	καί	{}	and, also
πρῶτον	πρῶτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	first
ἐστρατήγει	στρατηγέω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be general
στρατείας.	στράτεια	{Case: [genitive], Gender: [feminine], Number: [singular]}	
Ἔπειτα	ἔπειτα	{}	then, next
Ἀθηναῖοι	Ἀθηναῖος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	Athenian, of Athens
μετανοήσαντες	μετανοέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to change one's mind
ἔπεμψαν	πέμπω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to send, despatch
Σαλαμινίαν	Σαλαμινία	{Case: [accusative], Degree: [positive], Gender: [feminine], Number: [singular]}	
ναῦν	ναῦς	{Case: [accusative], Gender: [feminine], Number: [singular]}	a ship
Σικελίαν	Σικελία	{Case: [accusative], Gender: [feminine], Number: [singular]}	Sicily
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀνοίσουσαν.	ἀναισουσαμέω	{Case: [accusative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	
ἐχθροὶ	ἐχθρός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	hated, hateful; enemy
πόλει	πόλις	{Case: [dative], Gender: [feminine], Number: [singular]}	a city
κατηγόρουν	κατηγορέω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to speak against, to accuse
αὐτοῦ,	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
λέγοντες	λέγω	{Case: [nominative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
πρόσωπα	πρόσωπον	{Case: [nominative], Gender: [neuter], Number: [plural]}	the face, visage, countenance
λιθίνων	λίθινος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	of stone
Ἑρμῶν	Ἑρμᾶς	{Case: [nominative], Gender: [masculine], Number: [singular]}	
περιέκοψεν.	περικοψεναίνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
(Πολλοὶ	εφολλός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [plural]}	
ἦσαν	εἰμί	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to be
Ἑρμαῖ	Ἑρμαῖ	{Case: [dative], Gender: [masculine], Number: [singular]}	
ἰδίοις	ἴδιος	{Case: [dative], Degree: [positive], Gender: [neuter], Number: [plural]}	one's own, pertaining to oneself
προθύροις	πρόθυρος	{Case: [dative], Gender: [neuter], Number: [plural]}	
ἱεροῖς,	ἱερός	{Case: [dative], Gender: [masculine], Number: [plural]}	super-human, mighty, divine, wonderful
μιᾷ	εἷς	{Case: [dative], Gender: [feminine], Number: [singular]}	one
νυκτὶ	νύξ	{Case: [dative], Gender: [feminine], Number: [singular]}	the night
πλεῖστοι	πολύς	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [plural]}	much, many
περιεκόπησαν	περικοπέω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
πρόσωπα.)	πρόσωπα	{Case: [accusative], Gender: [neuter], Number: [plural]}	
Ἐπειδὴ	ἐπειδή	{}	
Σαλαμινία	Σαλαμινίος	{Case: [nominative], Degree: [positive], Gender: [feminine], Number: [singular]}	
ἐγένετο	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
Θουρίοις	Θούριος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	(adj.) of Thurii, (n.pl.) the city of Thurii
Ἀλκιβιάδης	Ἀλκιβιάδης	{Case: [nominative], Gender: [masculine], Number: [singular]}	Alcibiades
ἔφυγεν,	φεύγω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to flee, take flight, run away
πολὺ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	much, many
ὕστερον	ὕστερος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	latter, last
πλοίου	πλοῖον	{Case: [genitive], Gender: [neuter], Number: [singular]}	a floating vessel, a ship, vessel
